addresses_roadtype_name,addresses_end_street_number,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,,,C Sugranyes,,8028,,,BARCELONA,2.127317511144408,41.37533346292495,,,,Sants-Montjuïc,,427023.6295795931,2,﻿99400600374,,True,3,,,17,60,"Zona de Càrrega i Descàrrega * C Sugranyes, 2",328808,2018-07-10T16:08:55,4580791.363754087,,2022-09-17T10:08:12.460458,,,,,Sants - Badal,,
,,,,C Carreras i Candi,,8028,,,BARCELONA,2.1263297922677866,41.37508565851449,,,,Sants-Montjuïc,,426940.7553912696,10,﻿99400600375,,True,3,,,17,61,"Zona de Càrrega i Descàrrega * C Carreras i Candi, 10",68401,2018-07-10T16:08:55,4580764.684996616,,2022-09-17T10:08:18.414627,,,,,Sants - Badal,,
,,,,C Praga,,8024,,,BARCELONA,2.1641731910679254,41.41247930085211,,,,Horta-Guinardó,,430145.42437276227,5,﻿99400601878,,True,7,,,33,62,"Zona de Càrrega i Descàrrega * C Praga, 5",265402,2018-07-10T16:09:06,4584884.867478416,,2022-09-17T10:29:35.045393,,,,,el Baix Guinardó,,
,,,,Rbla Prim,,8020,,,BARCELONA,2.2064765423016257,41.420696519400714,,,,Sant Martí,,433689.33278043196,139,﻿99400601884,,True,10,,,73,63,"Zona de Càrrega i Descàrrega * Rbla Prim, 139",266405,2018-07-10T16:09:06,4585763.878622703,,2022-09-17T10:29:39.192706,,,,,la Verneda i la Pau,,
,,,,Rbla Guipúscoa,,8020,,,BARCELONA,2.1975572925994054,41.41648849235469,,,,Sant Martí,,432939.66215116787,68,﻿99400601885,,True,10,,,72,64,"Zona de Càrrega i Descàrrega * Rbla Guipúscoa, 68",153205,2018-07-10T16:09:06,4585303.575961871,,2022-09-17T10:29:39.206016,,,,,Sant Martí de Provençals,,
,,,,Pg Mare de Déu del Coll,,8032,,,BARCELONA,2.151562536022764,41.42441993871983,,,,Horta-Guinardó,,429104.46120139316,244,﻿99400601891,,True,7,,,37,65,"Zona de Càrrega i Descàrrega * Pg Mare de Déu del Coll, 244",230000,2018-07-10T16:09:06,4586220.754240156,,2022-09-17T10:29:48.110154,,,,,el Carmel,,
,,,,C Mare de Déu de Port,,8038,,,BARCELONA,2.1392991677429154,41.36531751563022,,,,Sants-Montjuïc,,428014.5411839013,342,﻿99400601893,,True,3,,,13,66,"Zona de Càrrega i Descàrrega * C Mare de Déu de Port, 342",230601,2018-07-10T16:09:06,4579669.391920933,,2022-09-17T10:29:48.548645,,,,,la Marina de Port,,
,,,,C Comte d'Urgell,,8036,,,BARCELONA,2.153058390430688,41.386479368818144,,,,Eixample,,429188.2732741772,162,﻿99400601695,,True,2,,,8,67,"Zona de Càrrega i Descàrrega * C Comte d'Urgell, 162",349706,2018-07-10T16:09:05,4582007.41134583,,2022-09-17T10:26:58.069438,,,,,l'Antiga Esquerra de l'Eixample,,
,,,,C Marina,,8018,,,BARCELONA,2.187270404451594,41.39484227309258,,,,Sant Martí,,432057.4302020039,114,﻿99400601704,,True,10,,,66,68,"Zona de Càrrega i Descàrrega * C Marina, 114",197302,2018-07-10T16:09:05,4582908.456143114,,2022-09-17T10:27:09.469239,,,,,el Parc i la Llacuna del Poblenou,,
,,,,C Espronceda,,8018,,,BARCELONA,2.194068714761074,41.413226113548646,,,,Sant Martí,,432644.74808700586,271,﻿99400601706,,True,10,,,65,69,"Zona de Càrrega i Descàrrega * C Espronceda, 271",115603,2018-07-10T16:09:05,4584944.097407842,,2022-09-17T10:27:10.633419,,,,,el Clot,,
,,,,C Cienfuegos,,8027,,,BARCELONA,2.182646293296142,41.42417421014349,,,,Sant Andreu,,431701.5889986148,29,﻿99400601708,,True,9,,,62,70,"Zona de Càrrega i Descàrrega * C Cienfuegos, 29",78405,2018-07-10T16:09:05,4586168.490283749,,2022-09-17T10:27:13.151636,,,,,el Congrés i els Indians,,
,,,,C Caballero,,8014,,,BARCELONA,2.137803968072029,41.383882710724016,,,,Les Corts,,427909.98975895625,81,﻿99400601714,,True,4,,,19,71,"Zona de Càrrega i Descàrrega * C Caballero, 81",52605,2018-07-10T16:09:05,4581731.711766115,,2022-09-17T10:27:16.899738,,,,,les Corts,,
,,,,C Torras i Pujalt,,8022,,,BARCELONA,2.133259893244746,41.40293809393777,,,,Sarrià-Sant Gervasi,,427551.20879052405,48,﻿99400600916,,True,5,,,25,72,"Zona de Càrrega i Descàrrega * C Torras i Pujalt, 48",339203,2018-07-10T16:08:59,4583851.006013991,,2022-09-17T10:15:48.123898,,,,,Sant Gervasi - la Bonanova,,
,,,,Av Madrid,,8028,,,BARCELONA,2.1228045910558513,41.37581190456447,,,,Les Corts,,426646.779231732,1,﻿99400600917,,True,4,,,20,73,"Zona de Càrrega i Descàrrega * Av Madrid, 1",187207,2018-07-10T16:08:59,4580848.289116826,,2022-09-17T10:15:48.175319,,,,,la Maternitat i Sant Ramon,,
,,,,Pg Maragall,,8032,,,BARCELONA,2.1626987138870772,41.428836104352854,,,,Horta-Guinardó,,430039.75102147873,415,﻿99400600922,,True,7,,,43,74,"Zona de Càrrega i Descàrrega * Pg Maragall, 415",194406,2018-07-10T16:08:59,4586701.975745388,,2022-09-17T10:15:50.939716,,,,,Horta,,
,,,,Pg Zona Franca,,8038,,,BARCELONA,2.139996516768567,41.35904526486856,,,,Sants-Montjuïc,,428065.95783280884,140,﻿99400600925,,True,3,,,13,75,"Zona de Càrrega i Descàrrega * Pg Zona Franca, 140",369408,2018-07-10T16:08:59,4578972.479738077,,2022-09-17T10:15:50.946562,,,,,la Marina de Port,,
,,,,C Piferrer,,8016,,,BARCELONA,2.177502412783897,41.432051507761216,,,,Nou Barris,,431280.0679115889,156,﻿99400600933,,True,8,,,45,76,"Zona de Càrrega i Descàrrega * C Piferrer, 156",255500,2018-07-10T16:08:59,4587047.091636853,,2022-09-17T10:15:56.536941,,,,,Porta,,
,,,,C Verdi,,8024,,,BARCELONA,2.1521048910982734,41.408746686615736,,,,Gràcia,,429132.74529319664,207,﻿99400602241,,True,6,,,30,77,"Zona de Càrrega i Descàrrega * C Verdi, 207",356803,2018-07-10T16:09:09,4584480.280212575,,2022-09-17T10:35:00.736480,,,,,la Salut,,
,,,,C Espronceda,,8027,,,BARCELONA,2.1856324030346177,41.419795131618244,,,,Sant Andreu,,431946.5397192808,374,﻿99400602244,,True,9,,,63,78,"Zona de Càrrega i Descàrrega * C Espronceda, 374",115603,2018-07-10T16:09:09,4585679.978094429,,2022-09-17T10:35:09.195946,,,,,Navas,,
,,,,C Nació,,8026,,,BARCELONA,2.185776101867546,41.41270974351644,,,,Sant Martí,,431951.152833517,17,﻿99400601249,,True,10,,,64,79,"Zona de Càrrega i Descàrrega * C Nació, 17",224802,2018-07-10T16:09:01,4584893.252764743,,2022-09-17T10:20:43.897665,,,,,el Camp de l'Arpa del Clot,,
,,,,Rbla Guipúscoa,,8020,,,BARCELONA,2.1953970294098237,41.415298877434296,,,,Sant Martí,,432757.89994230756,41,﻿99400601251,,True,10,,,72,80,"Zona de Càrrega i Descàrrega * Rbla Guipúscoa, 41",153205,2018-07-10T16:09:01,4585173.181196968,,2022-09-17T10:20:47.187106,,,,,Sant Martí de Provençals,,
,,,,C Josepa Massanés,,8026,,,BARCELONA,2.182731773159755,41.41198307771582,,,,Sant Martí,,431695.95932788646,25,﻿99400601253,,True,10,,,64,81,"Zona de Càrrega i Descàrrega * C Josepa Massanés, 25",170805,2018-07-10T16:09:01,4584814.975476494,,2022-09-17T10:20:55.546382,,,,,el Camp de l'Arpa del Clot,,
,,,,C Olot,,8024,,,BARCELONA,2.1532638476639896,41.41353714155462,,,,Gràcia,,429234.81119019317,1,﻿99400601504,,True,6,,,30,147,"Zona de Càrrega i Descàrrega * C Olot, 1",234908,2018-07-10T16:09:03,4585011.16405782,,2022-09-17T10:24:26.101232,,,,,la Salut,,
,,,,C Cartagena,,8013,,,BARCELONA,2.182619298138024,41.40494777438384,,,,Eixample,,431679.18864928774,187,﻿99400601257,,True,2,,,6,82,"Zona de Càrrega i Descàrrega * C Cartagena, 187",68900,2018-07-10T16:09:01,4584034.013088319,,2022-09-17T10:20:55.442133,,,,,la Sagrada Família,,
,,,,C Borges Blanques,,8016,,,BARCELONA,2.179700294912198,41.4441081598956,,,,Nou Barris,,431476.3867341717,2,﻿99400601715,,True,8,,,52,83,"Zona de Càrrega i Descàrrega * C Borges Blanques, 2",46307,2018-07-10T16:09:05,4588383.871654812,,2022-09-17T10:27:17.117527,,,,,la Prosperitat,,
,,,,Ctra Bordeta,,8014,,,BARCELONA,2.143070270074423,41.37283962745353,,,,Sants-Montjuïc,,428338.1988582474,57,﻿99400601716,,True,3,,,15,84,"Zona de Càrrega i Descàrrega * Ctra Bordeta, 57",45803,2018-07-10T16:09:05,4580501.358866445,,2022-09-17T10:27:16.649356,,,,,Hostafrancs,,
,,,,C Can Bruixa,,8014,,,BARCELONA,2.132945447304491,41.384267091494536,,,,Les Corts,,427504.1816939104,30,﻿99400601718,,True,4,,,19,85,"Zona de Càrrega i Descàrrega * C Can Bruixa, 30",58554,2018-07-10T16:09:05,4581778.438223335,,2022-09-17T10:27:16.794994,,,,,les Corts,,
,,,,C Cienfuegos,,8027,,,BARCELONA,2.1851766979604315,41.42391814690788,,,,Sant Andreu,,431912.7649545874,1,﻿99400601721,,True,9,,,61,86,"Zona de Càrrega i Descàrrega * C Cienfuegos, 1",78405,2018-07-10T16:09:05,4586138.069622788,,2022-09-17T10:27:20.251140,,,,,la Sagrera,,
,,,,Rbla Prim,,8019,,,BARCELONA,2.2171226294521125,41.41327289497613,,,,Sant Martí,,434571.5283763371,20,﻿99400601729,,True,10,,,70,87,"Zona de Càrrega i Descàrrega * Rbla Prim, 20",266405,2018-07-10T16:09:05,4584931.618907649,,2022-09-17T10:27:29.160224,,,,,el Besòs i el Maresme,,
,,,,C Deià,,8016,,,BARCELONA,2.173910457001641,41.434405377972354,,,,Nou Barris,,430982.4497460528,43,﻿99400600252,,True,8,,,45,88,"Zona de Càrrega i Descàrrega * C Deià, 43",100209,2018-07-10T16:08:54,4587311.274002407,,2022-09-17T10:06:39.456470,,,,,Porta,,
,,,,C Sancho de Ávila,,8018,,,BARCELONA,2.1934163486656266,41.401201582544125,,,,Sant Martí,,432577.79600455373,110,﻿99400601731,,True,10,,,66,89,"Zona de Càrrega i Descàrrega * C Sancho de Ávila, 110",311703,2018-07-10T16:09:05,4583609.656407349,,2022-09-17T10:27:33.884206,,,,,el Parc i la Llacuna del Poblenou,,
,,,,C Santapau,,8016,,,BARCELONA,2.1789133835657557,41.42936343284671,,,,Nou Barris,,431395.12585589255,17,﻿99400600256,,True,8,,,44,90,"Zona de Càrrega i Descàrrega * C Santapau, 17",319104,2018-07-10T16:08:54,4586747.544578881,,2022-09-17T10:06:41.825727,,,,,Vilapicina i la Torre Llobeta,,
,,,,C Campeny,,8030,,,BARCELONA,2.1863552342005947,41.440579454202776,,,,Sant Andreu,,432028.62845654646,30,﻿99400600475,,True,9,,,60,233,"Zona de Càrrega i Descàrrega * C Campeny, 30",57507,2018-07-10T16:08:56,4587986.869632895,,2022-09-17T10:09:33.992224,,,,,Sant Andreu,,
,,,,Av Diagonal,,8021,,,BARCELONA,2.1406408377193715,41.39211578428084,,,,Sarrià-Sant Gervasi,,428156.2531702643,620,﻿99400600392,,True,5,,,26,91,"Zona de Càrrega i Descàrrega * Av Diagonal, 620",144601,2018-07-10T16:08:55,4582643.379922814,,2022-09-17T10:08:29.224796,,,,,Sant Gervasi - Galvany,,
,,,,C Cartellà,,8031,,,BARCELONA,2.1680245067791852,41.42889236206256,,,,Nou Barris,,430484.80870101426,132,﻿99400600258,,True,8,,,44,92,"Zona de Càrrega i Descàrrega * C Cartellà, 132",69109,2018-07-10T16:08:54,4586703.931818058,,2022-09-17T10:06:45.596703,,,,,Vilapicina i la Torre Llobeta,,
,,,,Pg Maragall,,8032,,,BARCELONA,2.1746511612218473,41.42581735955821,,,,Horta-Guinardó,,431035.24542906514,239,﻿99400600260,,True,7,,,35,93,"Zona de Càrrega i Descàrrega * Pg Maragall, 239",194406,2018-07-10T16:08:54,4586357.248309034,,2022-09-17T10:06:46.562918,,,,,el Guinardó,,
,,,,C Riera Alta,,8001,,,BARCELONA,2.165680691466344,41.38043951880434,,,,Ciutat Vella,,430237.1622194383,33,﻿99400600265,,True,1,,,1,94,"Zona de Càrrega i Descàrrega * C Riera Alta, 33",282106,2018-07-10T16:08:54,4581326.639207722,,2022-09-17T10:06:54.015624,,,,,el Raval,,
,,,,C Gran de Sant Andreu,,8030,,,BARCELONA,2.1889411837556687,41.43821979361764,,,,Sant Andreu,,432242.20443733037,356,﻿99400600270,,True,9,,,60,95,"Zona de Càrrega i Descàrrega * C Gran de Sant Andreu, 356",296202,2018-07-10T16:08:54,4587722.874247249,,2022-09-17T10:06:54.082733,,,,,Sant Andreu,,
,,,,C Gran de Sant Andreu,,8030,,,BARCELONA,2.188474614328784,41.440586282346054,,,,Sant Andreu,,432205.6887387114,424,﻿99400600272,,True,9,,,60,96,"Zona de Càrrega i Descàrrega * C Gran de Sant Andreu, 424",296202,2018-07-10T16:08:54,4587985.965677212,,2022-09-17T10:06:54.072049,,,,,Sant Andreu,,
,,,,C Açores,,8027,,,BARCELONA,2.189698396256593,41.42514509184736,,,,Sant Andreu,,432291.8792472782,10,﻿99400600273,,True,9,,,61,97,"Zona de Càrrega i Descàrrega * C Açores, 10",29807,2018-07-10T16:08:54,4586270.7384059075,,2022-09-17T10:06:53.290503,,,,,la Sagrera,,
