addresses_roadtype_name,addresses_end_street_number,values_attribute_name,estimated_dates,addresses_road_name,values_category,addresses_zip_code,secondary_filters_id,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,secondary_filters_name,secondary_filters_tree,start_date,addresses_district_name,end_date,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,secondary_filters_asia_id,secondary_filters_fullpath,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,,,Pg Urrutia,,8031,,,BARCELONA,2.1698919430142642,41.43477756623011,,,,Nou Barris,,430647.1069913689,90,﻿99400602877,,True,8,,,46,11,"Zona de Càrrega i Descàrrega * Pg Urrutia, 90",349808,2018-07-10T16:09:14,4587355.805500007,,2022-09-17T10:44:18.324635,,,,,el Turó de la Peira,,
,,,,C Alfons el Magnànim,,8019,,,BARCELONA,2.2155216143047007,41.41564079707975,,,,Sant Martí,,434440.1046013157,57,﻿99400602880,,True,10,,,70,12,"Zona de Càrrega i Descàrrega * C Alfons el Magnànim, 57",8705,2018-07-10T16:09:14,4585195.711307508,,2022-09-17T10:44:18.049761,,,,,el Besòs i el Maresme,,
,,,,C Alcalde de Móstoles,,8025,,,BARCELONA,2.165402111076844,41.41144694178933,,,,Horta-Guinardó,,430247.0284099246,52,﻿99400602882,,True,7,,,33,13,"Zona de Càrrega i Descàrrega * C Alcalde de Móstoles, 52",6608,2018-07-10T16:09:14,4584769.26562648,,2022-09-17T10:44:19.886547,,,,,el Baix Guinardó,,
,,,,C Balmes,,8006,,,BARCELONA,2.1437008181758737,41.40297777802544,,,,Sarrià-Sant Gervasi,,428423.9933122317,327,﻿99400602887,,True,5,,,26,14,"Zona de Càrrega i Descàrrega * C Balmes, 327",32700,2018-07-10T16:09:14,4583846.73224152,,2022-09-17T10:44:26.643584,,,,,Sant Gervasi - Galvany,,
,,,,C Marina,,8013,,,BARCELONA,2.1819953575865645,41.39868067227816,,,,Eixample,,431620.46636102215,170,﻿99400602890,,True,2,,,5,15,"Zona de Càrrega i Descàrrega * C Marina, 170",197302,2018-07-10T16:09:14,4583338.73985764,,2022-09-17T10:44:26.712577,,,,,el Fort Pienc,,
,,,,C Castella,,8018,,,BARCELONA,2.1986030553847904,41.40473123210337,,,,Sant Martí,,433014.98067966104,3,﻿99400602891,,True,10,,,68,16,"Zona de Càrrega i Descàrrega * C Castella, 3",73707,2018-07-10T16:09:14,4583997.489711695,,2022-09-17T10:44:27.732061,,,,,el Poblenou,,
,,,,C Artesania,,8042,,,BARCELONA,2.173907767934878,41.440106207692224,,,,Nou Barris,,430988.2645599247,52,﻿99400602893,,True,8,,,51,17,"Zona de Càrrega i Descàrrega * C Artesania, 52",26605,2018-07-10T16:09:14,4587944.1788381785,,2022-09-17T10:44:27.617742,,,,,Verdun,,
,,,,C Vinyals,,8041,,,BARCELONA,2.1752814776208726,41.41984675120426,,,,Horta-Guinardó,,431081.6011148407,31,﻿99400601719,,True,7,,,35,18,"Zona de Càrrega i Descàrrega * C Vinyals, 31",364506,2018-07-10T16:09:05,4585693.894783688,,2022-09-17T10:27:17.877058,,,,,el Guinardó,,
,,,,C Montnegre,,8029,,,BARCELONA,2.1392511991628766,41.38792950783972,,,,Les Corts,,428035.45944337605,33,﻿99400601501,,True,4,,,19,146,"Zona de Càrrega i Descàrrega * C Montnegre, 33",219100,2018-07-10T16:09:03,4582179.778420467,,2022-09-17T10:24:23.877734,,,,,les Corts,,
,,,,C Vergós,,8017,,,BARCELONA,2.1289145011646724,41.39822919791244,,,,Sarrià-Sant Gervasi,,427182.7274826753,26,﻿99400601723,,True,5,,,24,19,"Zona de Càrrega i Descàrrega * C Vergós, 26",357103,2018-07-10T16:09:05,4583331.872998161,,2022-09-17T10:27:24.864295,,,,,les Tres Torres,,
,,,,C Lluçà,,8028,,,BARCELONA,2.131238898050518,41.381633664049495,,,,Les Corts,,427358.5621723303,24,﻿99400601724,,True,4,,,19,20,"Zona de Càrrega i Descàrrega * C Lluçà, 24",186907,2018-07-10T16:09:05,4581487.508031344,,2022-09-17T10:27:24.686816,,,,,les Corts,,
,,,,C Sancho de Ávila,,8018,,,BARCELONA,2.194042159568745,41.40181309432673,,,,Sant Martí,,432630.7394766611,123,﻿99400601730,,True,10,,,66,21,"Zona de Càrrega i Descàrrega * C Sancho de Ávila, 123",311703,2018-07-10T16:09:05,4583677.058760495,,2022-09-17T10:27:30.285402,,,,,el Parc i la Llacuna del Poblenou,,
,,,,C Concepción Arenal,,8027,,,BARCELONA,2.184302052744515,41.425513350889474,,,,Sant Andreu,,431841.34661196126,132,﻿99400601736,,True,9,,,61,22,"Zona de Càrrega i Descàrrega * C Concepción Arenal, 132",86108,2018-07-10T16:09:05,4586315.85587576,,2022-09-17T10:27:37.317645,,,,,la Sagrera,,
,,,,C Pedró de la Creu,,8034,,,BARCELONA,2.1220052965421106,41.39756832155639,,,,Sarrià-Sant Gervasi,,426604.41211666923,35,﻿99400600397,,True,5,,,23,23,"Zona de Càrrega i Descàrrega * C Pedró de la Creu, 35",94605,2018-07-10T16:08:55,4583264.33353193,,2022-09-17T10:08:31.061728,,,,,Sarrià,,
,,,,C Riu de l'Or,,8034,,,BARCELONA,2.1222279065468483,41.394862649458474,,,,Sarrià-Sant Gervasi,,426619.9780309596,39,﻿99400600398,,True,5,,,23,24,"Zona de Càrrega i Descàrrega * C Riu de l'Or, 39",282809,2018-07-10T16:08:55,4582963.764467303,,2022-09-17T10:08:30.439190,,,,,Sarrià,,
,,,,Rier Blanca,,8028,,,BARCELONA,2.1269109782139077,41.37195796994209,,,,Sants-Montjuïc,,426985.8590281473,109,﻿99400600399,,True,3,,,17,25,"Zona de Càrrega i Descàrrega * Rier Blanca, 109",282252,2018-07-10T16:08:55,4580416.964400942,,2022-09-17T10:08:36.097889,,,,,Sants - Badal,,
,,,,C Sant Fructuós,,8004,,,BARCELONA,2.147512107394117,41.371947367557624,,,,Sants-Montjuïc,,428708.68227703206,21,﻿99400600692,,True,3,,,14,26,"Zona de Càrrega i Descàrrega * C Sant Fructuós, 21",301608,2018-07-10T16:08:57,4580398.63894763,,2022-09-17T10:12:43.321330,,,,,la Font de la Guatlla,,
,,,,C Batllori,,8042,,,BARCELONA,2.178004635544675,41.44340557122577,,,,Nou Barris,,431333.99813122523,7,﻿99400600701,,True,8,,,51,27,"Zona de Càrrega i Descàrrega * C Batllori, 7",36700,2018-07-10T16:08:57,4588307.214372546,,2022-09-17T10:12:46.209131,,,,,Verdun,,
,,,,Pg Peira,,8031,,,BARCELONA,2.169536988073229,41.431842156544434,,,,Nou Barris,,430614.3253765979,37,﻿99400600710,,True,8,,,46,28,"Zona de Càrrega i Descàrrega * Pg Peira, 37",250802,2018-07-10T16:08:57,4587030.202665551,,2022-09-17T10:12:49.339618,,,,,el Turó de la Peira,,
,,,,C Mallorca,,8008,,,BARCELONA,2.1595928473299524,41.39177106653231,,,,Eixample,,429740.313786419,231,﻿99400602479,,True,2,,,7,29,"Zona de Càrrega i Descàrrega * C Mallorca, 231",191204,2018-07-10T16:09:11,4582589.56878068,,2022-09-17T10:38:37.876635,,,,,la Dreta de l'Eixample,,
,,,,C Casanova,,8036,,,BARCELONA,2.154154597354044,41.38905181717275,,,,Eixample,,429282.7142963131,146,﻿99400602485,,True,2,,,8,30,"Zona de Càrrega i Descàrrega * C Casanova, 146",70607,2018-07-10T16:09:11,4582292.105587611,,2022-09-17T10:38:41.023256,,,,,l'Antiga Esquerra de l'Eixample,,
,,,,Av Diagonal,,8021,,,BARCELONA,2.150067002891455,41.394312197682986,,,,Sarrià-Sant Gervasi,,428946.6944383336,568,﻿99400601295,,True,5,,,26,31,"Zona de Càrrega i Descàrrega * Av Diagonal, 568",144601,2018-07-10T16:09:02,4582879.449786756,,2022-09-17T10:21:28.408864,,,,,Sant Gervasi - Galvany,,
,,,,Av Vallcarca,,8023,,,BARCELONA,2.1408478506553292,41.41927475153293,,,,Gràcia,,428203.4650682857,227,﻿99400601301,,True,6,,,28,32,"Zona de Càrrega i Descàrrega * Av Vallcarca, 227",158107,2018-07-10T16:09:02,4585658.367531403,,2022-09-17T10:21:36.630526,,,,,Vallcarca i els Penitents,,
,,,,Pg Manuel Girona,,8034,,,BARCELONA,2.1253199615133958,41.39134472162264,,,,Les Corts,,426874.5276427649,56,﻿99400601307,,True,4,,,21,33,"Zona de Càrrega i Descàrrega * Pg Manuel Girona, 56",193108,2018-07-10T16:09:02,4582570.59435816,,2022-09-17T10:21:42.224199,,,,,Pedralbes,,
,,,,C Cardenal Reig,,8028,,,BARCELONA,2.11461177689476,41.37711224017577,,,,Les Corts,,425963.14384607266,14,﻿99400601309,,True,4,,,20,34,"Zona de Càrrega i Descàrrega * C Cardenal Reig, 14",65200,2018-07-10T16:09:02,4580999.616490617,,2022-09-17T10:21:41.897997,,,,,la Maternitat i Sant Ramon,,
,,,,C Regent Mendieta,,8028,,,BARCELONA,2.1221709599341563,41.376779351894,,,,Les Corts,,426594.88071283814,1,﻿99400601311,,True,4,,,20,35,"Zona de Càrrega i Descàrrega * C Regent Mendieta, 1",277300,2018-07-10T16:09:02,4580956.230051901,,2022-09-17T10:21:42.868636,,,,,la Maternitat i Sant Ramon,,
,,,,C Sugranyes,,8028,,,BARCELONA,2.1284174088985046,41.37403229933926,,,,Sants-Montjuïc,,427114.15473081125,38,﻿99400601314,,True,3,,,17,36,"Zona de Càrrega i Descàrrega * C Sugranyes, 38",328808,2018-07-10T16:09:02,4580645.985192805,,2022-09-17T10:21:47.034812,,,,,Sants - Badal,,
,,,,C Ramon Turró,,8005,,,BARCELONA,2.190364185493022,41.39033137076829,,,,Sant Martí,,432311.38683525485,3,﻿99400602678,,True,10,,,67,37,"Zona de Càrrega i Descàrrega * C Ramon Turró, 3",110009,2018-07-10T16:09:12,4582405.241103595,,2022-09-17T10:41:34.444416,,,,,la Vila Olímpica del Poblenou,,
,,,,C Ferran Junoy,,8030,,,BARCELONA,2.197410851939935,41.441831704070836,,,,Sant Andreu,,432953.5044564952,46,﻿99400602683,,True,9,,,59,38,"Zona de Càrrega i Descàrrega * C Ferran Junoy, 46",123306,2018-07-10T16:09:12,4588117.271547225,,2022-09-17T10:41:43.001167,,,,,el Bon Pastor,,
,,,,Pl Eduard Torroja,,8020,,,BARCELONA,2.199979504848591,41.41505754102071,,,,Sant Martí,,433140.6212315748,9999,﻿99400602688,,True,10,,,72,39,"Zona de Càrrega i Descàrrega * Pl Eduard Torroja, 9999",107503,2018-07-10T16:09:13,4585142.840568614,,2022-09-17T10:41:44.607311,,,,,Sant Martí de Provençals,,
,,,,C Viladomat,,8029,,,BARCELONA,2.1505368508329696,41.38461661967828,,,,Eixample,,428975.4213864536,199,﻿99400602273,,True,2,,,9,40,"Zona de Càrrega i Descàrrega * C Viladomat, 199",361406,2018-07-10T16:09:09,4581802.6752991015,,2022-09-17T10:35:34.760121,,,,,la Nova Esquerra de l'Eixample,,
,,,,C Comte Borrell,,8015,,,BARCELONA,2.15391899689003,41.384115244361766,,,,Eixample,,429257.6656549716,176,﻿99400602274,,True,2,,,9,41,"Zona de Càrrega i Descàrrega * C Comte Borrell, 176",87009,2018-07-10T16:09:09,4581744.246928473,,2022-09-17T10:35:36.211974,,,,,la Nova Esquerra de l'Eixample,,
,,,,C Comte d'Urgell,,8011,,,BARCELONA,2.1553106250166234,41.38480303421902,,,,Eixample,,429374.7675007834,130,﻿99400602286,,True,2,,,8,42,"Zona de Càrrega i Descàrrega * C Comte d'Urgell, 130",349706,2018-07-10T16:09:09,4581819.469218871,,2022-09-17T10:35:42.328832,,,,,l'Antiga Esquerra de l'Eixample,,
