score_category,time_score,cost_score,co2_score,reliability_score,traffic_score,efficiency_score
Low,46.943488925952515,59.97242639086697,11.79098330300621,32.38869056744268,21.64920053156347,0.9090381806581564
Average,75.61202402355681,76.97837251408194,29.36596774495688,45.99102705749214,41.298007872070905,2.3627135181589383
Good,88.97515094182472,88.90580960131814,62.43227986734701,52.971904437806984,53.34716495259651,6.347767003059158
Very good,95.9709843292501,95.84869267877104,84.90790923122371,65.54096032661757,68.03915149313205,19.22901040665
Excellent,98.17191676450751,98.77056744908987,95.85022783120932,87.15008431703204,91.10749737099664,29.414535119772644
